iteration,max_combo_size.train,total_time.train,n_subset_candidates.train,n_subsets_continued.train,max_combo_size.test,total_time.test,n_subset_candidates.test,n_subsets_continued.test
25,4,96.0126600265503,738784,77588,4,91.49773001670837,709760,77321
25,3,91.99514722824097,950275,77588,3,88.52850794792175,909475,77321
25,2,101.84212183952332,6888856,77588,2,96.13493609428406,6572523,77321
26,14,82.13690400123596,708578,70040,14,83.88563108444214,715417,70025
26,13,82.41944909095764,708578,70040,13,84.13205409049988,715417,70025
26,12,81.88895392417908,708578,70040,12,83.71213793754578,715417,70025
26,11,81.84407305717468,708578,70040,11,84.4470489025116,715417,70025
26,10,81.58952617645264,708578,70040,10,83.9080080986023,715417,70025
26,9,82.71822810173035,708578,70040,9,83.73954486846924,715417,70025
26,8,82.0518388748169,708578,70040,8,84.59247517585754,715417,70025
26,7,81.72839212417603,708578,70040,7,83.67846488952637,715417,70025
26,6,81.83728408813477,708580,70040,6,84.0815110206604,715419,70025
26,5,82.57808589935303,708679,70040,5,83.32108998298645,715576,70025
26,4,80.48257088661194,713508,70040,4,83.57669997215271,721008,70025
26,3,77.47538113594055,904924,70040,3,79.27871799468994,920438,70025
26,2,85.08459091186523,5926792,70040,2,88.51600909233093,6176304,70025
27,14,96.53145384788513,718774,79441,14,113.58983397483826,729054,86781
27,13,95.77767610549927,718774,79441,13,112.06460404396057,729054,86781
27,12,96.13143491744995,718774,79441,12,111.85993790626526,729054,86781
27,11,95.48595118522644,718774,79441,11,112.49076414108276,729054,86781
27,10,96.26963186264038,718774,79441,10,112.605712890625,729054,86781
27,9,98.17147302627563,718774,79441,9,112.56936597824097,729054,86781
27,8,95.47497820854187,718774,79441,8,112.36079692840576,729054,86781
27,7,96.3141860961914,718774,79441,7,111.53813886642456,729054,86781
27,6,98.54543614387512,718775,79441,6,111.71690011024475,729054,86781
27,5,95.53433299064636,718875,79441,5,110.2465751171112,729234,86781
27,4,94.40063810348511,723533,79441,4,108.29180002212524,734976,86781
27,3,87.27437901496887,944874,79441,3,102.8097870349884,971628,86781
27,2,98.87239813804626,6786502,79441,2,111.62772107124329,7503584,86781
28,14,79.7773129940033,710524,67838,14,85.4327220916748,713116,71528
28,13,80.3147439956665,710524,67838,13,85.8695650100708,713116,71528
28,12,79.27633309364319,710524,67838,12,84.98984813690186,713116,71528
28,11,79.6964979171753,710524,67838,11,86.13261985778809,713116,71528
28,10,79.45304894447327,710524,67838,10,84.8543701171875,713116,71528
28,9,80.09958100318909,710524,67838,9,85.32983899116516,713116,71528
28,8,79.4280469417572,710524,67838,8,86.06219601631165,713116,71528
28,7,79.50986313819885,710524,67838,7,85.24492907524109,713116,71528
28,6,80.06985902786255,710525,67838,6,88.11104702949524,713119,71528
28,5,79.49939703941345,710620,67838,5,85.71229791641235,713312,71528
28,4,78.87677597999573,715869,67838,4,84.73068499565125,718182,71528
28,3,75.21471405029297,909242,67838,3,80.91249895095825,911352,71528
28,2,83.49175715446472,5845822,67838,2,89.1564199924469,6243762,71528
29,14,82.48853087425232,710760,69769,14,86.62286615371704,714803,72794
29,13,81.30819010734558,710760,69769,13,86.21278691291809,714803,72794
29,12,81.42550802230835,710760,69769,12,87.16585302352905,714803,72794
29,11,81.17839217185974,710760,69769,11,86.58861708641052,714803,72794
29,10,82.39926195144653,710760,69769,10,86.32327389717102,714803,72794
29,9,81.35610699653625,710760,69769,9,87.09185600280762,714803,72794
29,8,81.8113009929657,710760,69769,8,86.53325295448303,714803,72794
29,7,81.72947692871094,710760,69769,7,86.29265689849854,714803,72794
29,6,82.25062799453735,710768,69769,6,86.23677611351013,714803,72794
29,5,81.17401003837585,710855,69769,5,87.09607601165771,714949,72794
29,4,80.46834897994995,715776,69769,4,85.07782793045044,720446,72794
29,3,77.81971597671509,905688,69769,3,81.4160258769989,928275,72794
29,2,85.20197296142578,5987994,69769,2,89.33613705635071,6255742,72794
